Bahasa_Bima,Bahasa_Indonesia
Nahu,Saya (Kasual)
Mada,Saya (Sopan)
Nggomi,Kamu (Kasual)
Ita,Anda (Sopan)
Sia,Dia
Cou,Siapa
Au,Apa
Ngaha,Makan
Ninu,Minum
Turo,Tidur
Lao,Pergi
Mai,Datang
Dula,Pulang
Doko,Duduk
Nggahi,Bicara
Bongi,Mau/Ingin
Uma,Rumah
Dana,Tanah/Kampung
Oi,Air
Afi,Api
Wadu,Batu
Ina,Ibu
Ama,Ayah
Ompu,Kakek
Wa'i,Nenek
Ana,Anak
Pasa,Pasar
Taho,Baik/Bagus
Na'e,Besar
To'i,Kecil
Wati,Tidak
Iyo,Iya
Au taho?,Apa kabar?
Ba au?,Kenapa?
Pira?,Berapa?
Di dampa?,Di mana?
Lampa kese, Jalan Sendiri
Ringu, Gila
